label ID,root_path,filename,output_path
N1002,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_003_Bone 0.5 SCAN 1.2,data\cores\N1002.nii.gz
N1003,MU\SOIL64_4_8_5_20_3,SOIL_FRIT_8_5_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N1003.nii.gz
N1006,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1006.nii.gz
N1008,MU\SOIL64_3_8_5_20_2,SOIL_FRIT_8_5_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N1008.nii.gz
N1009,MU\SOIL64_8_5_20,SOIL_FRIT_8_5_20Series_004_Bone 0.5 SCAN 2,data\cores\N1009.nii.gz
N1011,MU\SOIL64_4_8_5_20_3,SOIL_FRIT_8_5_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N1011.nii.gz
N1013,MU\SOIL_8_10_20_5,SOIL_8_10_20_5Series_004_Bone 0.5 SCAN 12,data\cores\N1013.nii.gz
N1017,MU\SOIL64_4_8_7_20_3,SOIL_FRIT_8_7_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N1017.nii.gz
N1019,MU\SOIL64_4_8_5_20_3,SOIL_FRIT_8_5_20_3Series_004_Bone 0.5 SCAN 8,data\cores\N1019.nii.gz
N1020,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_002_Bone 0.5 SCAN 1,data\cores\N1020.nii.gz
N1105,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1105.nii.gz
N1106,MU\SOIL_8_10_20_1,SOIL_8_10_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1106.nii.gz
N1107,MU\SOIL64_4_8_5_20_3,SOIL_FRIT_8_5_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N1107.nii.gz
N1108,MU\SOIL_8_10_20_5,SOIL_8_10_20_5Series_003_Bone 0.5 SCAN 11,data\cores\N1108.nii.gz
N1109,MU\SOIL_8_10_20_1,SOIL_8_10_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1109.nii.gz
N1111,MU\SOIL_8_10_20_1,SOIL_8_10_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1111.nii.gz
N1112,MU\SOIL_8_10_20_5,SOIL_8_10_20_5Series_003_Bone 0.5 SCAN 11,data\cores\N1112.nii.gz
N1114,MU\SOIL64_4_8_7_20_3,SOIL_FRIT_8_7_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N1114.nii.gz
N1116,MU\SOIL_8_10_20_1,SOIL_8_10_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1116.nii.gz
N1118,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_005_Bone 0.5 SCAN 2,data\cores\N1118.nii.gz
N1202,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_005_Bone 0.5 SCAN 2,data\cores\N1202.nii.gz
N1203,MU\SOIL64_3_8_7_20_2,SOIL_FRIT_8_7_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N1203.nii.gz
N1207,MU\DICOM_03\0000\002,,data\cores\N1207.nii.gz
N1210,MU\DICOM_02\0000\002,,data\cores\N1210.nii.gz
N1211,MU\DICOM_02\0000\001,,data\cores\N1211.nii.gz
N1212,MU\DICOM_02\0000\001,,data\cores\N1212.nii.gz
N1215,MU\SOIL64_4_8_5_20_3,SOIL_FRIT_8_5_20_3Series_004_Bone 0.5 SCAN 8,data\cores\N1215.nii.gz
N1216,MU\DICOM_04\0000\003,,data\cores\N1216.nii.gz
N1217,MU\DICOM_05\0000\003,,data\cores\N1217.nii.gz
