label ID,Length(cm),ProjArea(cm2),SurfArea(cm2),AvgDiam(mm),L00,L10,L20,L30,L40
N1001,3797.3749,231.6935,727.8866,0.6193875,3796.5368000000003,475.4734,24.0071,1.7365,0.0
N1002,2145.3141,127.7677,401.3938,0.589866666666667,1249.5995000000003,421.15869999999995,62.80709999999999,7.6579,0.2279
N1003,3070.1213,123.4252,387.7514,0.405325,1766.1484999999998,253.8436,46.7013,2.0037000000000003,0.0
N1006,2593.1142,164.7268,517.5046,0.602133333333333,1849.5062000000003,562.9311,104.11580000000002,0.6381,0.0
N1007,3805.0056,300.6121,944.4006,0.797675,2794.4701000000005,1348.6282999999999,101.6396,2.0507999999999997,0.0
N1008,4860.4815,296.3589,931.0394,0.532275,3806.986700000001,888.8293,161.1988,1.8429,0.1474
N1009,1748.8858,86.7061,272.3952,0.47745,1046.3627999999997,252.65720000000002,32.7752,0.2557,0.0
N1011,3607.0072,154.2429,484.5682,0.42716,1811.7653000000003,332.3884,41.2208,2.2278,0.1628
N1013,4021.144,278.5149,874.9805,0.7852,3645.6049,625.576,66.1444,2.754,0.1644
N1016,2435.1772,209.2967,657.5249,0.7793,1834.0307000000003,997.3504000000001,98.6522,3.8432999999999997,0.1348
N1017,3422.334,204.5562,642.6322,0.6112,1954.2561000000003,783.712,59.2805,0.9470999999999999,0.0
N1019,4310.778,204.2557,641.688,0.48185,2527.5907,626.4624000000001,40.1629,0.891,0.1806
N1020,2770.7851,179.4354,563.7129,0.6406,1779.3455000000004,619.8433,151.9949,1.6697,0.0586
N1102,1936.9365,221.9747,697.3541,1.1499,1836.6377,748.7222999999999,252.64020000000002,23.2421,1.8728
N1105,2853.9117,183.6711,577.0201,0.64085,1999.0283999999997,675.6555000000001,46.065999999999995,4.708600000000001,0.436
N1106,1432.7978,87.9623,276.3416,0.63865,990.435,309.16319999999996,9.3089,0.0,0.0
N1107,3568.3422,239.3569,751.9622,0.68465,1988.4898,936.8229000000001,106.05949999999999,11.2463,0.6672
N1108,2836.5166,224.4443,705.1126,0.7667,2626.1476,633.6524,72.8674,0.7754,0.0
